v-sweep;V(/VD);
0;-5.31578e-23;
0.01;0.00150772;
0.02;0.00302134;
0.03;0.00453646;
0.04;0.00605458;
0.05;0.00757572;
0.06;0.00909989;
0.07;0.0106271;
0.08;0.0121574;
0.09;0.0136908;
0.1;0.0152274;
0.11;0.016767;
0.12;0.0183098;
0.13;0.0198559;
0.14;0.0214051;
0.15;0.0229575;
0.16;0.0245132;
0.17;0.0260722;
0.18;0.0276344;
0.19;0.0292;
0.2;0.0307689;
0.21;0.0323412;
0.22;0.0339169;
0.23;0.035496;
0.24;0.0370785;
0.25;0.0386645;
0.26;0.040254;
0.27;0.041847;
0.28;0.0434436;
0.29;0.0450437;
0.3;0.0466474;
0.31;0.0482548;
0.32;0.0498658;
0.33;0.0514804;
0.34;0.0530988;
0.35;0.0547209;
0.36;0.0563468;
0.37;0.0579764;
0.38;0.0596099;
0.39;0.0612472;
0.4;0.0628884;
0.41;0.0645336;
0.42;0.0661826;
0.43;0.0678357;
0.44;0.0694927;
0.45;0.0711538;
0.46;0.072819;
0.47;0.0744882;
0.48;0.0761616;
0.49;0.0778392;
0.5;0.079521;
0.51;0.081207;
0.52;0.0828973;
0.53;0.0845919;
0.54;0.0862909;
0.55;0.0879942;
0.56;0.089702;
0.57;0.0914142;
0.58;0.0931309;
0.59;0.0948522;
0.6;0.0965781;
0.61;0.0983085;
0.62;0.100044;
0.63;0.101784;
0.64;0.103528;
0.65;0.105277;
0.66;0.107032;
0.67;0.108791;
0.68;0.110555;
0.69;0.112324;
0.7;0.114098;
0.71;0.115877;
0.72;0.117661;
0.73;0.11945;
0.74;0.121245;
0.75;0.123044;
0.76;0.12485;
0.77;0.12666;
0.78;0.128476;
0.79;0.130297;
0.8;0.132124;
0.81;0.133956;
0.82;0.135794;
0.83;0.137638;
0.84;0.139487;
0.85;0.141343;
0.86;0.143204;
0.87;0.145071;
0.88;0.146944;
0.89;0.148823;
0.9;0.150708;
0.91;0.1526;
0.92;0.154497;
0.93;0.156401;
0.94;0.158311;
0.95;0.160228;
0.96;0.162151;
0.97;0.164081;
0.98;0.166018;
0.99;0.167961;
1;0.169911;
1.01;0.171868;
1.02;0.173832;
1.03;0.175803;
1.04;0.177781;
1.05;0.179767;
1.06;0.18176;
1.07;0.18376;
1.08;0.185767;
1.09;0.187783;
1.1;0.189806;
1.11;0.191836;
1.12;0.193875;
1.13;0.195921;
1.14;0.197976;
1.15;0.200039;
1.16;0.20211;
1.17;0.204189;
1.18;0.206277;
1.19;0.208374;
1.2;0.210479;
1.21;0.212594;
1.22;0.214717;
1.23;0.216849;
1.24;0.218991;
1.25;0.221141;
1.26;0.223302;
1.27;0.225472;
1.28;0.227652;
1.29;0.229841;
1.3;0.232041;
1.31;0.234251;
1.32;0.236471;
1.33;0.238702;
1.34;0.240944;
1.35;0.243196;
1.36;0.24546;
1.37;0.247734;
1.38;0.25002;
1.39;0.252318;
1.4;0.254627;
1.41;0.256948;
1.42;0.259282;
1.43;0.261627;
1.44;0.263986;
1.45;0.266357;
1.46;0.268741;
1.47;0.271138;
1.48;0.273549;
1.49;0.275973;
1.5;0.278412;
1.51;0.280865;
1.52;0.283332;
1.53;0.285814;
1.54;0.288311;
1.55;0.290823;
1.56;0.293352;
1.57;0.295896;
1.58;0.298456;
1.59;0.301033;
1.6;0.303627;
1.61;0.306239;
1.62;0.308868;
1.63;0.311515;
1.64;0.314181;
1.65;0.316866;
1.66;0.31957;
1.67;0.322294;
1.68;0.325038;
1.69;0.327803;
1.7;0.330589;
1.71;0.333398;
1.72;0.336228;
1.73;0.339082;
1.74;0.341959;
1.75;0.34486;
1.76;0.347786;
1.77;0.350738;
1.78;0.353715;
1.79;0.35672;
1.8;0.359753;
1.81;0.362814;
1.82;0.365904;
1.83;0.369025;
1.84;0.372178;
1.85;0.375362;
1.86;0.37858;
1.87;0.381833;
1.88;0.385121;
1.89;0.388447;
1.9;0.39181;
1.91;0.395214;
1.92;0.398658;
1.93;0.402146;
1.94;0.405678;
1.95;0.409256;
1.96;0.412883;
1.97;0.41656;
1.98;0.420291;
1.99;0.424076;
2;0.427919;
2.01;0.431823;
2.02;0.43579;
2.03;0.439825;
2.04;0.44393;
2.05;0.44811;
2.06;0.45237;
2.07;0.456713;
2.08;0.461146;
2.09;0.465674;
2.1;0.470304;
2.11;0.475044;
2.12;0.479901;
2.13;0.484887;
2.14;0.49001;
2.15;0.495285;
2.16;0.500725;
2.17;0.506348;
2.18;0.512175;
2.19;0.518229;
2.2;0.52454;
2.21;0.531146;
2.22;0.538093;
2.23;0.545441;
2.24;0.553271;
2.25;0.561695;
2.26;0.570876;
2.27;0.580816;
2.28;0.590816;
2.29;0.600816;
