v-sweep;V(/VD);
2.3;0.610816;
2.31;0.620816;
2.32;0.630816;
2.33;0.640816;
2.34;0.650816;
2.35;0.660816;
2.36;0.670816;
2.37;0.680816;
2.38;0.690816;
2.39;0.700816;
2.4;0.710816;
2.41;0.720816;
2.42;0.730816;
2.43;0.740816;
2.44;0.750816;
2.45;0.760816;
2.46;0.770816;
2.47;0.780816;
2.48;0.790816;
2.49;0.800816;
2.5;0.810816;
2.51;0.820816;
2.52;0.830816;
2.53;0.840816;
2.54;0.850816;
2.55;0.860815;
2.56;0.870815;
2.57;0.880815;
2.58;0.890815;
2.59;0.900815;
2.6;0.910815;
2.61;0.920815;
2.62;0.930815;
2.63;0.940815;
2.64;0.950815;
2.65;0.960815;
2.66;0.970815;
2.67;0.980815;
2.68;0.990815;
2.69;1.00082;
2.7;1.01082;
2.71;1.02082;
2.72;1.03082;
2.73;1.04082;
2.74;1.05082;
2.75;1.06082;
2.76;1.07082;
2.77;1.08082;
2.78;1.09082;
2.79;1.10082;
2.8;1.11082;
2.81;1.12082;
2.82;1.13082;
2.83;1.14082;
2.84;1.15082;
2.85;1.16082;
2.86;1.17082;
2.87;1.18082;
2.88;1.19082;
2.89;1.20082;
2.9;1.21082;
2.91;1.22082;
2.92;1.23082;
2.93;1.24082;
2.94;1.25082;
2.95;1.26082;
2.96;1.27082;
2.97;1.28082;
2.98;1.29082;
2.99;1.30082;
3;1.31082;
3.01;1.32082;
3.02;1.33082;
3.03;1.34082;
3.04;1.35082;
3.05;1.36082;
3.06;1.37082;
3.07;1.38082;
3.08;1.39082;
3.09;1.40082;
3.1;1.41082;
3.11;1.42082;
3.12;1.43082;
3.13;1.44082;
3.14;1.45082;
3.15;1.46081;
3.16;1.47081;
3.17;1.48081;
3.18;1.49081;
3.19;1.50081;
3.2;1.51081;
3.21;1.52081;
3.22;1.53081;
3.23;1.54081;
3.24;1.55081;
3.25;1.56081;
3.26;1.57081;
3.27;1.58081;
3.28;1.59081;
3.29;1.60081;
3.3;1.61081;
3.31;1.62081;
3.32;1.63081;
3.33;1.64081;
3.34;1.65081;
3.35;1.66081;
3.36;1.67081;
3.37;1.68081;
3.38;1.69081;
3.39;1.70081;
3.4;1.71081;
3.41;1.72081;
3.42;1.73081;
3.43;1.74081;
3.44;1.75081;
3.45;1.76081;
3.46;1.77081;
3.47;1.78081;
3.48;1.79081;
3.49;1.80081;
3.5;1.81081;
3.51;1.82081;
3.52;1.83081;
3.53;1.84081;
3.54;1.85081;
3.55;1.86081;
3.56;1.87081;
3.57;1.88081;
3.58;1.89081;
3.59;1.90081;
3.6;1.91081;
3.61;1.92081;
3.62;1.93081;
3.63;1.94081;
3.64;1.95081;
3.65;1.96081;
3.66;1.97081;
3.67;1.98081;
3.68;1.99081;
3.69;2.00081;
3.7;2.01081;
3.71;2.02081;
3.72;2.03081;
3.73;2.04081;
3.74;2.05081;
3.75;2.06081;
3.76;2.07081;
3.77;2.08081;
3.78;2.09081;
3.79;2.10081;
3.8;2.11081;
3.81;2.12081;
3.82;2.13081;
3.83;2.14081;
3.84;2.15081;
3.85;2.16081;
3.86;2.17081;
3.87;2.18081;
3.88;2.19081;
3.89;2.20081;
3.9;2.21081;
3.91;2.22081;
3.92;2.23081;
3.93;2.24081;
3.94;2.25081;
3.95;2.26081;
3.96;2.27081;
3.97;2.28081;
3.98;2.29081;
3.99;2.30081;
4;2.31081;
4.01;2.32081;
4.02;2.33081;
4.03;2.34081;
4.04;2.35081;
4.05;2.36081;
4.06;2.37081;
4.07;2.38081;
4.08;2.39081;
4.09;2.40081;
4.1;2.41081;
4.11;2.42081;
4.12;2.43081;
4.13;2.44081;
4.14;2.45081;
4.15;2.46081;
4.16;2.47081;
4.17;2.48081;
4.18;2.49081;
4.19;2.50081;
4.2;2.51081;
4.21;2.52081;
4.22;2.53081;
4.23;2.54081;
4.24;2.55081;
4.25;2.56081;
4.26;2.57081;
4.27;2.58081;
4.28;2.59081;
4.29;2.60081;
4.3;2.61081;
4.31;2.62081;
4.32;2.63081;
4.33;2.64081;
4.34;2.65081;
4.35;2.66081;
4.36;2.67081;
4.37;2.68081;
4.38;2.69081;
4.39;2.70081;
4.4;2.71081;
4.41;2.72081;
4.42;2.73081;
4.43;2.74081;
4.44;2.75081;
4.45;2.76081;
4.46;2.77081;
4.47;2.78081;
4.48;2.79081;
4.49;2.80081;
4.5;2.81081;
4.51;2.82081;
4.52;2.83081;
4.53;2.84081;
4.54;2.85081;
4.55;2.86081;
4.56;2.87081;
4.57;2.88081;
4.58;2.89081;
4.59;2.90081;
4.6;2.91081;
4.61;2.92081;
4.62;2.93081;
4.63;2.94081;
4.64;2.95081;
4.65;2.96081;
4.66;2.97081;
4.67;2.98081;
4.68;2.99081;
4.69;3.00081;
4.7;3.01081;
4.71;3.02081;
4.72;3.03081;
4.73;3.04081;
4.74;3.05081;
4.75;3.06081;
4.76;3.07081;
4.77;3.08081;
4.78;3.09081;
4.79;3.10081;
4.8;3.11081;
4.81;3.12081;
4.82;3.13081;
4.83;3.14081;
4.84;3.15081;
4.85;3.16081;
4.86;3.17081;
4.87;3.18081;
4.88;3.19081;
4.89;3.20081;
4.9;3.21081;
4.91;3.22081;
4.92;3.23081;
4.93;3.24081;
4.94;3.25081;
4.95;3.26081;
4.96;3.27081;
4.97;3.28081;
4.98;3.29081;
4.99;3.30081;
5;3.31081;
