v-sweep;V(/VD);
3.11;0.45758;
3.12;0.45964;
3.13;0.461708;
3.14;0.463785;
3.15;0.465869;
3.16;0.467961;
3.17;0.470062;
3.18;0.472171;
3.19;0.474289;
3.2;0.476415;
3.21;0.478551;
3.22;0.480695;
3.23;0.482848;
3.24;0.485011;
3.25;0.487182;
3.26;0.489364;
3.27;0.491554;
3.28;0.493755;
3.29;0.495965;
3.3;0.498185;
3.31;0.500415;
3.32;0.502656;
3.33;0.504907;
3.34;0.507169;
3.35;0.509441;
3.36;0.511724;
3.37;0.514018;
3.38;0.516324;
3.39;0.518641;
3.4;0.52097;
3.41;0.52331;
3.42;0.525662;
3.43;0.528027;
3.44;0.530404;
3.45;0.532794;
3.46;0.535196;
3.47;0.537612;
3.48;0.540041;
3.49;0.542483;
3.5;0.544939;
3.51;0.547409;
3.52;0.549893;
3.53;0.552392;
3.54;0.554906;
3.55;0.557435;
3.56;0.559979;
3.57;0.562539;
3.58;0.565115;
3.59;0.567707;
3.6;0.570316;
3.61;0.572942;
3.62;0.575585;
3.63;0.578246;
3.64;0.580925;
3.65;0.583623;
3.66;0.58634;
3.67;0.589076;
3.68;0.591831;
3.69;0.594607;
3.7;0.597404;
3.71;0.600222;
3.72;0.603062;
3.73;0.605924;
3.74;0.608809;
3.75;0.611717;
3.76;0.61465;
3.77;0.617607;
3.78;0.620589;
3.79;0.623598;
3.8;0.626633;
3.81;0.629696;
3.82;0.632788;
3.83;0.635908;
3.84;0.639059;
3.85;0.642241;
3.86;0.645455;
3.87;0.648702;
3.88;0.651983;
3.89;0.655299;
3.9;0.658652;
3.91;0.662043;
3.92;0.665473;
3.93;0.668944;
3.94;0.672457;
3.95;0.676013;
3.96;0.679616;
3.97;0.683266;
3.98;0.686965;
3.99;0.690716;
4;0.694521;
4.01;0.698383;
4.02;0.702304;
4.03;0.706287;
4.04;0.710335;
4.05;0.714452;
4.06;0.718642;
4.07;0.722908;
4.08;0.727255;
4.09;0.731689;
4.1;0.736214;
4.11;0.740837;
4.12;0.745565;
4.13;0.750406;
4.14;0.755367;
4.15;0.76046;
4.16;0.765694;
4.17;0.771085;
4.18;0.776645;
4.19;0.782394;
4.2;0.788353;
4.21;0.794546;
4.22;0.801005;
4.23;0.807768;
4.24;0.814884;
4.25;0.822417;
4.26;0.83045;
4.27;0.839103;
4.28;0.848548;
4.29;0.858548;
4.3;0.868548;
4.31;0.878548;
4.32;0.888548;
4.33;0.898548;
4.34;0.908548;
4.35;0.918548;
4.36;0.928548;
4.37;0.938548;
4.38;0.948548;
4.39;0.958548;
4.4;0.968548;
4.41;0.978548;
4.42;0.988548;
4.43;0.998548;
4.44;1.00855;
4.45;1.01855;
4.46;1.02855;
4.47;1.03855;
4.48;1.04855;
4.49;1.05855;
4.5;1.06855;
4.51;1.07855;
4.52;1.08855;
4.53;1.09855;
4.54;1.10855;
4.55;1.11855;
4.56;1.12855;
4.57;1.13855;
4.58;1.14855;
4.59;1.15855;
4.6;1.16855;
4.61;1.17855;
4.62;1.18855;
4.63;1.19855;
4.64;1.20855;
4.65;1.21855;
4.66;1.22855;
4.67;1.23855;
4.68;1.24855;
4.69;1.25855;
4.7;1.26855;
4.71;1.27855;
4.72;1.28855;
4.73;1.29855;
4.74;1.30855;
4.75;1.31855;
4.76;1.32855;
4.77;1.33855;
4.78;1.34855;
4.79;1.35855;
4.8;1.36855;
4.81;1.37855;
4.82;1.38855;
4.83;1.39855;
4.84;1.40855;
4.85;1.41855;
4.86;1.42855;
4.87;1.43855;
4.88;1.44855;
4.89;1.45855;
4.9;1.46855;
4.91;1.47855;
4.92;1.48855;
4.93;1.49855;
4.94;1.50855;
4.95;1.51855;
4.96;1.52855;
4.97;1.53855;
4.98;1.54855;
4.99;1.55855;
5;1.56855;
